SampleNumber MagX MagY MagZ AccX AccY AccZ GyroX GyroY GyroZ
136 15.27 8.45 -99.49 -0.35 -0.43 10.63 -0.02 0.03 0.03
137 15.27 8.45 -99.49 -0.35 -0.43 10.75 -0.02 0.02 0.03
138 15.27 8.45 -99.49 -0.16 -0.47 10.71 -0.02 0.02 0.03
139 15.27 8.45 -99.49 -0.24 -0.47 10.59 -0.02 0.03 0.03
140 15.27 8.45 -99.49 -0.24 -0.43 10.67 -0.02 0.03 0.03
141 15.27 8.45 -99.49 -0.27 -0.43 10.71 -0.03 0.04 0.03
142 15.27 8.45 -99.49 -0.24 -0.43 10.71 -0.02 0.03 0.03
143 15.27 8.45 -99.49 -0.27 -0.47 10.63 -0.02 0.02 0.03
144 15.27 8.45 -99.69 -0.24 -0.47 10.63 -0.02 0.03 0.02
145 15.27 8.45 -99.69 -0.20 -0.43 10.63 -0.02 0.03 0.02
146 15.27 8.45 -99.69 -0.27 -0.39 10.71 -0.03 0.03 0.03
147 15.27 8.45 -99.69 -0.27 -0.39 10.63 -0.02 0.02 0.02
148 15.27 8.45 -99.69 -0.24 -0.43 10.63 -0.02 0.02 0.02
149 15.27 8.45 -99.69 -0.27 -0.51 10.71 -0.02 0.03 0.02
150 15.27 8.45 -99.69 -0.27 -0.43 10.63 -0.02 0.03 0.02
151 15.55 8.27 -99.18 -0.20 -0.39 10.63 -0.02 0.03 0.02
152 15.55 8.27 -99.18 -0.31 -0.39 10.63 -0.02 0.03 0.03
153 15.55 8.27 -99.18 -0.31 -0.43 10.59 -0.02 0.02 0.03
154 15.55 8.27 -99.18 -0.35 -0.43 10.55 -0.02 0.02 0.04
155 15.55 8.27 -99.18 -0.35 -0.43 10.40 -0.02 0.03 0.04
156 15.55 8.27 -99.18 -0.31 -0.39 10.47 -0.02 0.03 0.02
157 15.55 8.27 -99.18 -0.24 -0.43 10.55 -0.02 0.03 0.03
158 15.45 8.36 -99.18 -0.24 -0.47 10.43 -0.02 0.02 0.03
159 15.45 8.36 -99.18 -0.24 -0.35 10.71 -0.02 0.02 0.03
160 15.45 8.36 -99.18 -0.20 -0.43 10.59 -0.02 0.02 0.03
161 15.45 8.36 -99.18 -0.31 -0.47 10.71 -0.02 0.03 0.03
162 15.45 8.36 -99.18 -0.24 -0.55 10.51 -0.03 0.03 0.04
163 15.45 8.36 -99.18 -0.20 -0.43 10.71 -0.02 0.03 0.03
164 15.45 8.36 -99.18 -0.20 -0.43 10.67 -0.02 0.02 0.03
165 15.27 8.36 -99.08 -0.20 -0.35 10.55 -0.02 0.02 0.03
166 15.27 8.36 -99.08 -0.27 -0.39 10.63 -0.02 0.03 0.03
167 15.27 8.36 -99.08 -0.27 -0.47 10.63 -0.02 0.03 0.03
168 15.27 8.36 -99.08 -0.27 -0.51 10.71 -0.02 0.02 0.03
169 15.27 8.36 -99.08 -0.24 -0.47 10.59 -0.02 0.02 0.03
170 15.27 8.36 -99.08 -0.27 -0.47 10.59 -0.02 0.02 0.03
171 15.27 8.36 -99.08 -0.20 -0.47 10.67 -0.02 0.02 0.03
172 15.27 8.55 -99.49 -0.27 -0.39 10.67 -0.03 0.03 0.03
173 15.27 8.55 -99.49 -0.27 -0.47 10.71 -0.03 0.03 0.03
174 15.27 8.55 -99.49 -0.24 -0.51 10.59 -0.02 0.02 0.04
175 15.27 8.55 -99.49 -0.24 -0.39 10.71 -0.02 0.02 0.03
176 15.27 8.55 -99.49 -0.20 -0.47 10.59 -0.02 0.03 0.03
177 15.27 8.55 -99.49 -0.27 -0.43 10.75 -0.03 0.04 0.04
178 15.27 8.55 -99.39 -0.20 -0.47 10.67 -0.03 0.03 0.04
179 15.27 8.55 -99.39 -0.24 -0.47 10.67 -0.02 0.03 0.04
180 15.27 8.55 -99.39 -0.24 -0.43 10.59 -0.02 0.02 0.03
181 15.27 8.55 -99.39 -0.27 -0.43 10.59 -0.02 0.02 0.03
182 15.27 8.55 -99.39 -0.20 -0.47 10.55 -0.02 0.03 0.03
183 15.27 8.55 -99.39 -0.27 -0.43 10.79 -0.03 0.03 0.04
184 15.27 8.55 -99.39 -0.35 -0.47 10.87 -0.03 0.03 0.03
185 15.27 8.27 -99.08 -0.20 -0.43 10.71 -0.02 0.02 0.03
186 15.27 8.27 -99.08 -0.20 -0.51 10.55 -0.02 0.02 0.03
187 15.27 8.27 -99.08 -0.31 -0.35 10.59 -0.02 0.03 0.03
188 15.27 8.27 -99.08 -0.20 -0.43 10.83 -0.02 0.03 0.03
189 15.27 8.27 -99.08 -0.27 -0.43 10.79 -0.03 0.03 0.03
190 15.27 8.27 -99.08 -0.27 -0.43 10.59 -0.03 0.03 0.04
191 15.27 8.27 -99.08 -0.24 -0.47 10.63 -0.02 0.02 0.03
192 15.27 8.45 -99.29 -0.27 -0.51 10.71 -0.02 0.02 0.02
193 15.27 8.45 -99.29 -0.31 -0.43 10.67 -0.02 0.03 0.03
194 15.27 8.45 -99.29 -0.24 -0.43 10.63 -0.03 0.03 0.03
195 15.27 8.45 -99.29 -0.27 -0.43 10.63 -0.02 0.03 0.03
196 15.27 8.45 -99.29 -0.27 -0.47 10.71 -0.02 0.02 0.03
197 15.27 8.45 -99.29 -0.20 -0.39 10.63 -0.02 0.03 0.03
198 15.27 8.45 -99.29 -0.31 -0.51 10.71 -0.02 0.03 0.03
199 15.36 8.55 -99.39 -0.24 -0.43 10.59 -0.02 0.03 0.03
200 15.36 8.55 -99.39 -0.31 -0.39 10.63 -0.03 0.03 0.03
201 15.36 8.55 -99.39 -0.24 -0.43 10.59 -0.02 0.03 0.03
202 15.36 8.55 -99.39 -0.27 -0.39 10.71 -0.02 0.02 0.04
203 15.36 8.55 -99.39 -0.20 -0.47 10.59 -0.02 0.03 0.04
204 15.36 8.55 -99.39 -0.20 -0.47 10.59 -0.03 0.03 0.04
205 15.36 8.55 -99.39 -0.31 -0.43 10.67 -0.03 0.03 0.03
206 15.73 8.82 -99.39 -0.31 -0.43 10.79 -0.02 0.03 0.03
207 15.73 8.82 -99.39 -0.20 -0.43 10.79 -0.02 0.02 0.03
208 15.73 8.82 -99.39 -0.20 -0.43 10.83 -0.02 0.02 0.03
209 15.73 8.82 -99.39 -0.27 -0.43 10.63 -0.02 0.03 0.03
210 15.73 8.82 -99.39 -0.31 -0.47 10.51 -0.03 0.03 0.03
211 15.73 8.82 -99.39 -0.24 -0.55 10.71 -0.03 0.03 0.03
212 15.36 8.82 -99.80 -0.27 -0.47 10.47 -0.02 0.02 0.03
213 15.36 8.82 -99.80 -0.35 -0.43 10.75 -0.02 0.02 0.04
214 15.36 8.82 -99.80 -0.35 -0.39 10.55 -0.02 0.03 0.03
215 15.36 8.82 -99.80 -0.31 -0.43 10.47 -0.03 0.03 0.03
216 15.36 8.82 -99.80 -0.20 -0.39 10.59 -0.02 0.03 0.02
217 15.36 8.82 -99.80 -0.27 -0.39 10.71 -0.02 0.03 0.02
218 15.36 8.82 -99.80 -0.24 -0.43 10.63 -0.02 0.02 0.02
219 15.55 8.27 -99.59 -0.31 -0.39 10.59 -0.02 0.02 0.03
220 15.55 8.27 -99.59 -0.24 -0.47 10.67 -0.02 0.03 0.03
221 15.55 8.27 -99.59 -0.27 -0.43 10.63 -0.03 0.03 0.03
222 15.55 8.27 -99.59 -0.24 -0.35 10.63 -0.02 0.03 0.03
223 15.55 8.27 -99.59 -0.31 -0.51 10.67 -0.02 0.02 0.03
224 15.55 8.27 -99.59 -0.24 -0.51 10.55 -0.02 0.02 0.03
225 15.55 8.27 -99.59 -0.31 -0.47 10.63 -0.02 0.03 0.03
226 15.55 8.36 -99.69 -0.16 -0.55 10.55 -0.03 0.04 0.03
227 15.55 8.36 -99.69 -0.24 -0.43 10.67 -0.03 0.04 0.03
228 15.55 8.36 -99.69 -0.27 -0.39 10.67 -0.02 0.03 0.02
229 15.55 8.36 -99.69 -0.31 -0.47 10.67 -0.02 0.02 0.02
230 15.55 8.36 -99.69 -0.24 -0.39 10.71 -0.02 0.02 0.03
231 15.55 8.36 -99.69 -0.20 -0.47 10.71 -0.03 0.03 0.03
232 15.55 8.36 -99.69 -0.20 -0.47 10.71 -0.03 0.03 0.02
233 15.45 8.27 -99.59 -0.16 -0.47 10.71 -0.02 0.02 0.03
234 15.45 8.27 -99.59 -0.31 -0.47 10.55 -0.02 0.02 0.03
235 15.45 8.27 -99.59 -0.27 -0.43 10.79 -0.02 0.03 0.03
236 15.45 8.27 -99.59 -0.24 -0.47 10.59 -0.02 0.03 0.03
237 15.45 8.27 -99.59 -0.24 -0.43 10.63 -0.03 0.03 0.03
238 15.45 8.27 -99.59 -0.12 -0.43 10.71 -0.03 0.03 0.03
239 15.45 8.27 -99.59 -0.20 -0.35 10.79 -0.02 0.02 0.03
240 15.64 8.36 -99.49 -0.35 -0.31 10.67 -0.02 0.02 0.02
241 15.64 8.36 -99.49 -0.27 -0.39 10.63 -0.02 0.03 0.02
242 15.64 8.36 -99.49 -0.27 -0.47 10.63 -0.03 0.03 0.03
243 15.64 8.36 -99.49 -0.31 -0.47 10.67 -0.03 0.03 0.04
244 15.64 8.36 -99.49 -0.27 -0.47 10.63 -0.02 0.02 0.03
245 15.64 8.36 -99.49 -0.24 -0.47 10.63 -0.02 0.02 0.02
246 15.27 8.18 -99.39 -0.24 -0.43 10.59 -0.02 0.02 0.02
247 15.27 8.18 -99.39 -0.27 -0.47 10.59 -0.02 0.03 0.02
248 15.27 8.18 -99.39 -0.20 -0.47 10.59 -0.03 0.03 0.03
249 15.27 8.18 -99.39 -0.27 -0.43 10.67 -0.02 0.03 0.03
250 15.27 8.18 -99.39 -0.24 -0.47 10.71 -0.02 0.02 0.03
251 15.27 8.18 -99.39 -0.27 -0.47 10.63 -0.02 0.02 0.03
252 15.27 8.18 -99.39 -0.24 -0.47 10.59 -0.02 0.03 0.02
253 15.55 8.18 -99.08 -0.27 -0.47 10.67 -0.03 0.04 0.03
254 15.55 8.18 -99.08 -0.27 -0.47 10.63 -0.03 0.03 0.03
255 15.55 8.18 -99.08 -0.27 -0.51 10.63 -0.03 0.02 0.03
256 15.55 8.18 -99.08 -0.24 -0.39 10.75 -0.02 0.02 0.03
257 15.55 8.18 -99.08 -0.27 -0.43 10.67 -0.02 0.02 0.02
258 15.55 8.18 -99.08 -0.27 -0.43 10.79 -0.02 0.03 0.03
259 15.55 8.18 -99.08 -0.16 -0.43 10.79 -0.02 0.03 0.03
260 15.64 8.36 -99.29 -0.31 -0.47 10.51 -0.02 0.03 0.03
261 15.64 8.36 -99.29 -0.24 -0.43 10.75 -0.02 0.02 0.02
262 15.64 8.36 -99.29 -0.27 -0.43 10.79 -0.02 0.03 0.02
263 15.64 8.36 -99.29 -0.24 -0.47 10.55 -0.02 0.03 0.02
264 15.64 8.36 -99.29 -0.24 -0.39 10.71 -0.02 0.03 0.03
265 15.64 8.36 -99.29 -0.27 -0.47 10.47 -0.02 0.03 0.03
266 15.64 8.36 -99.29 -0.27 -0.43 10.55 -0.02 0.02 0.02
267 15.45 8.45 -99.80 -0.27 -0.43 10.51 -0.02 0.02 0.03
268 15.45 8.45 -99.80 -0.31 -0.47 10.67 -0.02 0.03 0.02
269 15.45 8.45 -99.80 -0.24 -0.43 10.55 -0.02 0.03 0.03
270 15.45 8.45 -99.80 -0.12 -0.47 10.71 -0.02 0.03 0.03
271 15.45 8.45 -99.80 -0.24 -0.39 10.59 -0.02 0.02 0.03
272 15.45 8.45 -99.80 -0.24 -0.43 10.63 -0.02 0.02 0.03
273 15.45 8.45 -99.80 -0.24 -0.43 10.67 -0.02 0.03 0.03
274 15.36 8.27 -99.49 -0.27 -0.39 10.59 -0.02 0.03 0.03
275 15.36 8.27 -99.49 -0.24 -0.43 10.59 -0.02 0.03 0.03
276 15.36 8.27 -99.49 -0.31 -0.39 10.75 -0.02 0.03 0.03
277 15.36 8.27 -99.49 -0.31 -0.39 10.59 -0.02 0.02 0.03
278 15.36 8.27 -99.49 -0.20 -0.39 10.59 -0.02 0.02 0.03
279 15.36 8.27 -99.49 -0.27 -0.47 10.63 -0.02 0.03 0.03
280 15.45 8.55 -99.49 -0.20 -0.47 10.59 -0.02 0.03 0.04
281 15.45 8.55 -99.49 -0.24 -0.39 10.59 -0.02 0.03 0.04
282 15.45 8.55 -99.49 -0.24 -0.47 10.63 -0.02 0.02 0.03
283 15.45 8.55 -99.49 -0.24 -0.47 10.55 -0.02 0.03 0.03
284 15.45 8.55 -99.49 -0.24 -0.47 10.71 -0.02 0.03 0.03
285 15.45 8.55 -99.49 -0.27 -0.39 10.75 -0.02 0.03 0.03
286 15.45 8.55 -99.49 -0.24 -0.47 10.79 -0.02 0.03 0.03
287 15.45 8.27 -99.29 -0.27 -0.43 10.87 -0.02 0.02 0.03
288 15.45 8.27 -99.29 -0.31 -0.47 10.63 -0.02 0.02 0.03
289 15.45 8.27 -99.29 -0.20 -0.47 10.51 -0.02 0.02 0.03
290 15.45 8.27 -99.29 -0.24 -0.47 10.55 -0.02 0.03 0.02
291 15.45 8.27 -99.29 -0.20 -0.43 10.71 -0.02 0.03 0.02
292 15.45 8.27 -99.29 -0.31 -0.43 10.71 -0.02 0.02 0.02
293 15.45 8.27 -99.29 -0.27 -0.43 10.83 -0.02 0.02 0.03
294 15.36 8.09 -99.39 -0.24 -0.39 10.75 -0.02 0.02 0.03
295 15.36 8.09 -99.39 -0.20 -0.43 10.59 -0.02 0.02 0.03
296 15.36 8.09 -99.39 -0.20 -0.47 10.67 -0.03 0.03 0.03
297 15.36 8.09 -99.39 -0.27 -0.47 10.67 -0.02 0.03 0.02
298 15.36 8.09 -99.39 -0.27 -0.47 10.67 -0.02 0.02 0.03
299 15.36 8.09 -99.39 -0.20 -0.43 10.59 -0.02 0.02 0.04
300 15.36 8.09 -99.39 -0.31 -0.39 10.63 -0.02 0.03 0.04
301 15.55 8.36 -99.18 -0.24 -0.43 10.67 -0.03 0.03 0.03
302 15.55 8.36 -99.18 -0.20 -0.43 10.63 -0.02 0.03 0.02
303 15.55 8.36 -99.18 -0.20 -0.43 10.71 -0.02 0.02 0.03
304 15.55 8.36 -99.18 -0.24 -0.39 10.59 -0.02 0.02 0.03
305 15.55 8.36 -99.18 -0.20 -0.51 10.67 -0.02 0.02 0.04
306 15.55 8.36 -99.18 -0.20 -0.47 10.71 -0.02 0.03 0.04
307 15.55 8.36 -99.18 -0.20 -0.43 10.67 -0.03 0.03 0.03
308 15.27 8.36 -99.18 -0.24 -0.47 10.55 -0.02 0.03 0.03
309 15.27 8.36 -99.18 -0.24 -0.55 10.71 -0.02 0.02 0.03
310 15.27 8.36 -99.18 -0.24 -0.55 10.71 -0.02 0.03 0.03
311 15.27 8.36 -99.18 -0.12 -0.43 10.75 -0.02 0.03 0.04
312 15.27 8.36 -99.18 -0.27 -0.47 10.63 -0.02 0.03 0.03
313 15.27 8.36 -99.18 -0.24 -0.43 10.79 -0.02 0.03 0.03
314 15.36 8.73 -99.29 -0.35 -0.35 10.71 -0.02 0.03 0.03
315 15.36 8.73 -99.29 -0.16 -0.47 10.63 -0.02 0.02 0.03
316 15.36 8.73 -99.29 -0.24 -0.43 10.59 -0.02 0.03 0.03
317 15.36 8.73 -99.29 -0.24 -0.47 10.71 -0.03 0.03 0.03
318 15.36 8.73 -99.29 -0.27 -0.43 10.71 -0.03 0.03 0.03
319 15.36 8.73 -99.29 -0.27 -0.43 10.71 -0.02 0.03 0.03
320 15.36 8.73 -99.29 -0.27 -0.47 10.63 -0.02 0.02 0.04
321 15.27 8.45 -99.29 -0.16 -0.43 10.59 -0.02 0.03 0.03
322 15.27 8.45 -99.29 -0.24 -0.43 10.63 -0.03 0.03 0.03
323 15.27 8.45 -99.29 -0.20 -0.43 10.55 -0.03 0.03 0.03
324 15.27 8.45 -99.29 -0.20 -0.43 10.63 -0.02 0.03 0.03
325 15.27 8.45 -99.29 -0.24 -0.39 10.67 -0.02 0.02 0.03
326 15.27 8.45 -99.29 -0.24 -0.43 10.67 -0.02 0.02 0.03
327 15.27 8.45 -99.29 -0.31 -0.47 10.63 -0.02 0.03 0.02
328 15.55 8.64 -99.18 -0.27 -0.43 10.55 -0.02 0.03 0.03
329 15.55 8.64 -99.18 -0.27 -0.43 10.67 -0.03 0.03 0.03
330 15.55 8.64 -99.18 -0.16 -0.43 10.63 -0.02 0.02 0.03
331 15.55 8.64 -99.18 -0.24 -0.43 10.67 -0.02 0.03 0.03
