SampleNumber MagX MagY MagZ AccX AccY AccZ GyroX GyroY GyroZ
151 -18.36 -4.64 -96.73 0.47 -1.73 10.75 -0.10 0.11 0.22
152 -18.36 -4.64 -96.73 0.43 -1.57 10.59 -0.17 0.11 0.23
153 -18.36 -4.64 -96.73 0.47 -1.41 10.63 -0.17 0.10 0.21
154 -18.36 -4.64 -96.73 0.27 -1.53 10.71 -0.14 0.10 0.27
155 -18.36 -4.64 -96.73 0.59 -1.61 10.83 -0.19 0.11 0.38
156 -18.36 -4.64 -96.73 0.31 -1.33 10.83 -0.28 0.11 0.43
157 -18.36 -4.64 -96.73 0.27 -1.29 10.67 -0.32 0.07 0.36
158 -17.82 -4.09 -96.84 0.43 -1.14 10.94 -0.28 0.10 0.31
159 -17.82 -4.09 -96.84 0.27 -1.33 11.02 -0.18 0.13 0.29
160 -17.82 -4.09 -96.84 0.16 -1.45 10.94 -0.10 0.16 0.29
161 -17.82 -4.09 -96.84 0.20 -1.73 10.98 -0.11 0.21 0.28
162 -17.82 -4.09 -96.84 0.20 -1.77 10.71 -0.11 0.21 0.25
163 -17.82 -4.09 -96.84 0.16 -1.88 10.71 -0.21 0.19 0.25
164 -17.82 -4.09 -96.84 0.20 -1.84 10.71 -0.30 0.15 0.24
165 -18.36 -3.27 -96.94 0.24 -1.84 10.47 -0.29 0.16 0.26
166 -18.36 -3.27 -96.94 0.12 -1.65 10.47 -0.22 0.21 0.25
167 -18.36 -3.27 -96.94 0.16 -1.69 10.43 -0.21 0.25 0.24
168 -18.36 -3.27 -96.94 0.12 -1.80 10.51 -0.26 0.29 0.25
169 -18.36 -3.27 -96.94 0.08 -1.53 10.55 -0.28 0.29 0.27
170 -18.36 -3.27 -96.94 0.04 -1.45 10.40 -0.21 0.25 0.27
171 -17.45 -2.64 -97.45 0.12 -1.45 10.32 -0.16 0.20 0.24
172 -17.45 -2.64 -97.45 0.04 -1.77 10.28 -0.09 0.18 0.24
173 -17.45 -2.64 -97.45 -0.08 -1.96 10.40 -0.09 0.16 0.29
174 -17.45 -2.64 -97.45 -0.04 -2.04 10.43 -0.07 0.16 0.29
175 -17.45 -2.64 -97.45 -0.08 -2.04 10.71 -0.17 0.15 0.31
176 -17.45 -2.64 -97.45 -0.12 -2.08 10.79 -0.34 0.18 0.30
177 -17.45 -2.64 -97.45 -0.16 -2.28 10.90 -0.45 0.24 0.27
178 -17.09 -1.73 -97.24 -0.31 -2.08 10.67 -0.55 0.26 0.27
179 -17.09 -1.73 -97.24 -0.27 -2.24 10.71 -0.63 0.24 0.28
180 -17.09 -1.73 -97.24 -0.31 -2.47 10.43 -0.67 0.24 0.31
181 -17.09 -1.73 -97.24 -1.14 -2.75 10.32 -0.66 0.27 0.31
182 -17.09 -1.73 -97.24 2.47 -1.96 10.00 -0.40 0.22 0.14
183 -17.09 -1.73 -97.24 0.47 -0.71 11.53 1.43 -1.05 -0.56
184 -17.09 -2.55 -97.14 0.67 -1.77 9.73 1.58 -1.15 -0.06
185 -18.55 -2.55 -97.14 0.04 -2.08 9.69 0.79 -0.70 -0.03
186 -18.55 -2.55 -97.14 0.16 -1.92 10.28 0.24 -0.13 -0.29
187 -18.55 -2.55 -97.14 0.20 -1.61 11.14 0.26 -0.13 -0.29
188 -18.55 -2.55 -97.14 0.35 -1.37 11.06 0.14 0.04 -0.42
189 -18.55 -2.55 -97.14 0.39 -1.37 10.71 0.31 -0.04 -0.36
190 -18.55 -2.55 -97.14 0.43 -1.29 10.36 0.45 0.03 -0.14
191 -18.36 -3.18 -96.94 0.20 -1.65 10.59 0.33 0.20 -0.10
192 -18.36 -3.18 -96.94 0.20 -1.88 10.51 -0.02 0.26 -0.07
193 -18.36 -3.18 -96.94 0.04 -1.88 10.67 -0.18 0.18 -0.04
194 -18.36 -3.18 -96.94 -0.04 -1.73 10.71 -0.16 0.06 -0.08
195 -18.36 -3.18 -96.94 0.08 -1.65 10.47 -0.15 -0.00 -0.12
196 -18.36 -3.18 -96.94 0.08 -1.65 10.71 -0.16 -0.03 -0.14
197 -18.36 -3.18 -96.94 -0.04 -1.57 10.94 -0.14 -0.03 -0.15
198 -18.64 -3.27 -97.04 0.08 -1.69 10.83 -0.08 -0.06 -0.13
199 -18.64 -3.27 -97.04 0.16 -1.65 10.87 -0.02 -0.08 -0.06
200 -18.64 -3.27 -97.04 0.20 -1.73 10.71 0.02 -0.03 0.00
201 -18.64 -3.27 -97.04 0.04 -1.80 10.87 0.02 -0.03 0.09
202 -18.64 -3.27 -97.04 0.16 -1.65 10.71 0.00 0.03 0.09
203 -18.64 -3.27 -97.04 0.16 -1.77 10.63 0.02 0.06 0.14
204 -18.45 -3.36 -96.94 0.31 -1.77 10.63 0.09 0.04 0.17
205 -18.45 -3.36 -96.94 0.39 -1.80 10.55 0.14 0.04 0.18
206 -18.45 -3.36 -96.94 0.27 -1.80 10.59 0.12 0.06 0.28
207 -18.45 -3.36 -96.94 0.00 -2.12 10.40 0.07 0.07 0.41
208 -18.45 -3.36 -96.94 -0.51 -2.04 10.59 0.10 -0.06 0.40
209 -18.45 -3.36 -96.94 -0.20 -1.41 11.06 0.26 -0.33 0.24
210 -18.45 -3.36 -96.94 0.43 -1.18 10.83 0.56 -0.64 0.23
211 -19.09 -4.00 -96.63 0.47 -1.41 10.59 0.51 -0.40 0.32
212 -19.09 -4.00 -96.63 0.35 -1.41 10.32 0.51 -0.40 0.32
213 -19.09 -4.00 -96.63 0.20 -1.57 10.63 0.26 -0.04 0.29
214 -19.09 -4.00 -96.63 0.43 -1.49 10.67 0.13 0.06 0.29
215 -19.09 -4.00 -96.63 0.20 -1.84 11.06 0.12 -0.04 0.27
216 -19.09 -4.00 -96.63 0.24 -2.04 11.30 0.11 -0.12 0.33
217 -19.09 -4.00 -96.63 0.20 -1.77 10.98 0.15 -0.04 0.52
218 -19.27 -3.82 -96.43 0.20 -1.41 10.24 0.13 0.02 0.60
219 -19.27 -3.82 -96.43 0.47 -0.67 10.51 -0.01 0.04 0.42
220 -19.27 -3.82 -96.43 0.12 -0.98 10.28 -0.04 -0.07 0.10
221 -19.27 -3.82 -96.43 0.35 -0.67 10.67 0.28 -0.50 -0.02
222 -19.27 -3.82 -96.43 0.47 -1.18 10.43 0.32 -0.60 0.05
223 -19.27 -3.82 -96.43 0.47 -1.33 10.43 0.32 -0.60 0.13
224 -20.09 -4.27 -96.33 0.43 -1.29 10.71 0.26 -0.48 0.13
225 -20.09 -4.27 -96.33 0.47 -1.53 10.79 0.21 -0.31 0.16
226 -20.09 -4.27 -96.33 0.39 -1.69 10.71 0.12 -0.18 0.18
227 -20.09 -4.27 -96.33 0.35 -1.57 10.83 0.04 -0.14 0.18
228 -20.09 -4.27 -96.33 0.43 -1.45 10.79 -0.07 -0.15 0.14
229 -20.09 -4.27 -96.33 0.55 -1.45 10.90 -0.25 -0.11 0.07
230 -20.09 -4.27 -96.33 0.51 -1.29 10.90 -0.43 0.03 0.07
231 -20.36 -3.64 -96.33 0.59 -0.98 10.94 -0.44 0.18 0.10
232 -20.36 -3.64 -96.33 0.59 -1.02 10.90 -0.31 0.25 0.28
233 -20.36 -3.64 -96.33 0.47 -1.02 10.75 -0.14 0.22 0.54
234 -20.36 -3.64 -96.33 0.55 -0.75 10.55 -0.02 0.10 0.66
235 -20.36 -3.64 -96.33 0.43 -0.71 10.55 -0.02 0.10 0.66
236 -20.36 -3.64 -96.33 0.31 -0.98 10.59 -0.02 -0.00 0.78
237 -20.36 -3.64 -96.33 0.12 -1.33 10.67 -0.04 -0.05 1.05
238 -20.18 -2.55 -96.02 0.16 -1.69 10.75 -0.01 -0.10 1.19
239 -20.18 -2.55 -96.02 0.16 -2.20 10.83 0.04 -0.04 1.26
240 -20.18 -2.55 -96.02 0.16 -2.12 10.71 0.08 0.13 1.36
241 -20.18 -2.55 -96.02 0.24 -1.92 10.67 0.09 0.27 1.43
242 -20.18 -2.55 -96.02 0.08 -1.92 10.55 0.02 0.32 1.41
243 -20.18 -2.55 -96.02 0.16 -1.57 10.28 -0.07 0.33 1.48
244 -19.73 -1.18 -96.53 0.16 -1.33 10.47 -0.22 0.29 1.37
245 -19.73 -1.18 -96.53 0.16 -1.02 10.51 -0.36 0.27 1.23
246 -19.73 -1.18 -96.53 0.12 -1.14 10.55 -0.36 0.27 1.27
247 -19.73 -1.18 -96.53 -0.08 -1.14 11.14 -0.40 0.25 1.28
248 -19.73 -1.18 -96.53 0.00 -1.18 10.87 -0.33 0.19 1.42
249 -19.73 -1.18 -96.53 0.00 -1.45 10.90 -0.34 0.05 1.58
250 -19.73 -1.18 -96.53 0.08 -1.45 10.59 -0.38 -0.08 1.74
251 -19.73 0.82 -96.63 -0.12 -1.69 10.43 -0.25 -0.17 1.93
252 -19.73 0.82 -96.63 -0.12 -1.88 10.79 -0.24 -0.24 2.01
253 -19.73 0.82 -96.63 -0.39 -2.20 10.71 -0.26 -0.29 2.01
254 -19.73 0.82 -96.63 -0.31 -2.31 10.71 -0.17 -0.26 2.02
255 -19.73 0.82 -96.63 -0.27 -2.71 10.43 -0.24 -0.21 1.95
256 -19.73 0.82 -96.63 -0.31 -2.24 10.40 -0.37 -0.13 1.82
257 -19.73 0.82 -96.63 0.00 -2.28 10.51 -0.40 0.01 1.71
258 -19.64 3.27 -96.33 -0.43 -2.08 10.55 -0.36 0.16 1.64
259 -19.64 3.27 -96.33 -0.47 -1.92 10.59 -0.37 0.16 1.64
260 -19.64 3.27 -96.33 -0.31 -1.84 10.67 -0.36 0.25 1.72
261 -19.64 3.27 -96.33 -0.31 -1.80 10.71 -0.36 0.29 1.86
262 -19.64 3.27 -96.33 -0.35 -1.80 10.63 -0.33 0.27 1.96
263 -19.64 3.27 -96.33 -0.16 -1.84 10.47 -0.29 0.24 2.03
264 -18.00 6.00 -96.63 -0.59 2.24 9.65 -0.25 0.21 2.06
265 -18.00 6.00 -96.63 -0.63 -2.31 10.59 -0.13 0.21 2.05
266 -18.00 6.00 -96.63 -0.75 -2.31 10.98 -0.09 0.16 2.00
267 -18.00 6.00 -96.63 -0.82 -2.35 10.75 -0.05 0.12 2.05
268 -18.00 6.00 -96.63 -1.14 -2.31 10.67 -0.05 0.10 2.10
269 -18.00 6.00 -96.63 -0.82 -2.47 10.94 -0.09 0.04 2.11
270 -18.00 6.00 -96.63 -1.33 -2.59 10.55 -0.09 0.04 2.11
271 -17.36 7.82 -96.63 -1.41 -2.63 10.36 -0.17 -0.04 2.09
272 -17.36 7.82 -96.63 -1.45 -2.43 10.51 -0.34 -0.07 2.06
273 -17.36 7.82 -96.63 -1.61 -2.20 10.51 -0.34 0.02 2.03
274 -17.36 7.82 -96.63 -1.53 -2.00 10.67 -0.10 0.17 2.11
275 -17.36 7.82 -96.63 -0.90 -1.96 10.51 -0.07 0.13 2.22
276 -17.36 7.82 -96.63 -1.14 -1.80 10.20 -0.21 -0.07 2.27
277 -17.36 7.82 -96.63 -1.02 -1.84 10.40 -0.27 -0.21 2.28
278 -16.18 10.18 -96.53 -1.10 -1.92 10.36 -0.02 -0.19 2.35
279 -16.18 10.18 -96.53 -1.41 -1.80 10.40 0.20 -0.18 2.56
280 -16.18 10.18 -96.53 -1.49 -1.92 10.51 0.25 -0.29 2.66
281 -16.18 10.18 -96.53 -1.88 -2.00 10.79 0.38 -0.32 2.74
282 -16.18 10.18 -96.53 -1.80 -2.20 11.18 0.38 -0.31 2.78
283 -16.18 10.18 -96.53 -1.73 -2.16 10.98 0.48 -0.31 2.78
284 -15.09 11.00 -96.53 -1.88 -1.96 10.24 0.40 -0.38 2.74
285 -15.09 11.00 -96.53 -1.49 -2.08 10.28 0.18 -0.44 2.73
286 -15.09 11.00 -96.53 -1.37 -1.45 10.36 -0.07 -0.42 2.71
287 -15.09 11.00 -96.53 -0.71 -1.37 10.28 -0.18 -0.39 2.69
288 -15.09 11.00 -96.53 -0.35 -1.14 10.04 -0.03 -0.32 2.78
289 -15.09 11.00 -96.53 -0.24 -1.14 10.20 0.10 -0.28 2.85
290 -15.09 11.00 -96.53 -1.57 -3.14 10.28 0.21 -0.29 2.92
291 -13.73 13.00 -96.22 -1.14 -1.80 10.71 0.16 -0.56 3.02
292 -13.73 13.00 -96.22 -2.04 -1.45 11.02 0.79 -0.68 2.76
293 -13.73 13.00 -96.22 -2.39 -1.65 10.87 0.97 -0.95 2.59
294 -13.73 13.00 -96.22 -2.04 -0.86 10.83 0.82 -1.09 2.45
295 -13.73 13.00 -96.22 -1.92 -1.26 10.94 0.63 -1.07 2.33
296 -13.73 13.00 -96.22 -1.57 -1.10 11.18 0.80 -0.77 2.32
297 -14.18 12.55 -96.73 -1.29 -0.78 11.41 0.80 -0.77 2.24
298 -14.18 12.55 -96.73 -1.33 -1.02 11.14 0.70 -0.61 2.26
299 -14.18 12.55 -96.73 -1.10 -0.67 11.18 0.37 -0.65 2.17
300 -14.18 12.55 -96.73 -1.22 -0.94 10.83 0.02 -0.79 2.03
301 -14.18 12.55 -96.73 -1.06 -0.75 10.20 -0.20 -0.90 1.86
302 -14.18 12.55 -96.73 -0.86 -0.51 10.16 0.03 -0.81 1.75
303 -14.18 12.55 -96.73 -0.90 -0.35 9.85 0.47 -0.56 1.76
304 -14.18 12.55 -96.22 -0.78 -0.16 10.40 0.84 -0.25 1.72
305 -14.18 12.55 -96.22 -0.94 -0.39 10.12 1.06 0.04 1.74
306 -14.18 12.55 -96.22 -1.10 -0.27 10.20 0.99 0.27 1.70
307 -14.18 12.55 -96.22 -1.18 -0.16 9.73 0.87 0.45 1.59
308 -14.18 12.55 -96.22 -1.41 -0.04 10.55 0.95 0.61 1.49
309 -14.18 12.55 -96.22 -1.26 -0.12 11.49 1.26 0.69 1.49
310 -14.18 12.55 -96.22 -1.14 0.16 11.10 1.27 0.69 1.49
311 -11.73 11.00 -98.06 -1.10 0.35 10.28 1.49 0.64 1.49
312 -11.73 11.00 -98.06 -0.94 0.75 11.61 1.60 0.63 1.48
313 -11.73 11.00 -98.06 -1.45 0.75 11.10 1.65 0.59 1.51
314 -11.73 11.00 -98.06 -1.41 1.02 10.90 1.59 0.51 1.52
315 -11.73 11.00 -98.06 -1.61 0.94 10.79 1.48 0.51 1.52
316 -11.73 11.00 -98.06 -1.73 1.10 10.20 1.34 0.61 1.51
317 -8.91 8.18 -99.69 -1.80 1.14 10.28 1.29 0.73 1.47
318 -8.91 8.18 -99.69 -1.80 1.14 10.00 1.26 0.84 1.43
319 -8.91 8.18 -99.69 -1.84 1.45 10.00 1.26 0.84 1.43
320 -8.91 8.18 -99.69 -1.80 1.65 10.40 1.22 0.94 1.36
321 -8.91 8.18 -99.69 -1.61 1.88 10.36 1.20 1.05 1.26
322 -8.91 8.18 -99.69 -1.37 2.00 10.63 1.14 1.11 1.22
323 -8.91 8.18 -99.69 -1.53 1.96 11.14 0.92 1.01 1.24
